timestamp,cpu,memory,temperature,queue,latency,throughput,power,selected_policy,selected_node,qos,dqn_inference_ms,scheduler_decision_ms,total_frames,node1_frames,node2_frames,node3_frames,policy0_frames,policy1_frames,policy2_frames,policy3_frames
1782649904,1.25,36.51,49.31,0.00,0.00,0.00,4.85,0,node1,0.7838,0.00,0.00,0,0,0,0,0,0,0,0
1782649905,1.25,36.51,49.16,0.00,0.00,0.00,4.61,0,node1,0.7844,0.00,0.00,0,0,0,0,0,0,0,0
1782649906,1.25,36.51,49.03,0.00,0.00,0.00,4.61,0,node1,0.7849,0.00,0.00,0,0,0,0,0,0,0,0
1782649907,1.25,36.51,49.06,0.00,0.00,0.00,4.61,0,node1,0.7848,0.00,0.00,0,0,0,0,0,0,0,0
1782649908,1.25,36.51,49.06,0.00,0.00,0.00,4.61,0,node1,0.7848,0.00,0.00,0,0,0,0,0,0,0,0
1782649909,1.25,36.56,49.12,0.00,0.00,0.00,4.61,0,node1,0.7845,0.00,0.00,0,0,0,0,0,0,0,0
1782649910,1.25,36.57,49.00,0.00,0.00,0.00,4.61,0,node1,0.7850,0.00,0.00,0,0,0,0,0,0,0,0
1782649911,1.25,36.57,49.00,0.00,0.00,0.00,4.61,0,node1,0.7850,0.00,0.00,0,0,0,0,0,0,0,0
1782649912,1.25,36.57,48.88,0.00,0.00,0.00,4.61,0,node1,0.7855,0.00,0.00,0,0,0,0,0,0,0,0
1782649913,1.25,36.57,49.00,0.00,0.00,0.00,4.61,0,node1,0.7850,0.00,0.00,0,0,0,0,0,0,0,0
1782649914,1.25,36.57,49.19,0.00,0.00,0.00,4.61,0,node1,0.7843,0.00,0.00,0,0,0,0,0,0,0,0
1782649915,1.25,36.57,49.16,0.00,0.00,0.00,4.61,0,node1,0.7844,0.00,0.00,0,0,0,0,0,0,0,0
1782649916,1.25,36.57,48.97,0.00,0.00,0.00,4.61,0,node1,0.7851,0.00,0.00,0,0,0,0,0,0,0,0
1782649917,1.25,36.57,49.16,0.00,0.00,0.00,4.61,0,node1,0.7844,0.00,0.00,0,0,0,0,0,0,0,0
1782649918,1.25,36.57,49.19,0.00,0.00,0.00,4.61,0,node1,0.7843,0.00,0.00,0,0,0,0,0,0,0,0
1782649919,1.25,36.57,49.09,0.00,0.00,0.00,4.61,0,node1,0.7847,0.00,0.00,0,0,0,0,0,0,0,0
1782649920,1.25,36.57,49.28,0.00,0.00,0.00,4.69,0,node1,0.7839,0.00,0.00,0,0,0,0,0,0,0,0
1782649921,1.25,36.57,49.12,0.00,0.00,0.00,4.61,0,node1,0.7845,0.00,0.00,0,0,0,0,0,0,0,0
1782649922,1.25,36.58,49.19,0.00,0.00,0.00,4.57,0,node1,0.7843,0.00,0.00,0,0,0,0,0,0,0,0
1782649923,1.25,36.63,49.06,0.00,0.00,0.00,4.61,0,node1,0.7848,0.00,0.00,0,0,0,0,0,0,0,0
1782649924,1.25,36.63,48.78,0.00,0.00,0.00,4.61,0,node1,0.7858,0.00,0.00,0,0,0,0,0,0,0,0
1782649925,1.25,36.63,48.84,0.00,0.00,0.00,4.61,0,node1,0.7856,0.00,0.00,0,0,0,0,0,0,0,0
1782649926,1.25,36.63,48.81,0.00,0.00,0.00,4.61,0,node1,0.7857,0.00,0.00,0,0,0,0,0,0,0,0
1782649927,1.25,36.86,49.25,0.00,0.00,0.00,5.17,0,node1,0.7841,0.00,0.00,0,0,0,0,0,0,0,0
1782649928,1.25,36.86,48.94,0.00,0.00,0.00,4.65,0,node1,0.7852,0.00,0.00,0,0,0,0,0,0,0,0
1782649929,1.25,36.86,48.94,0.00,0.00,0.00,4.69,0,node1,0.7852,0.00,0.00,0,0,0,0,0,0,0,0
1782649930,1.25,38.01,49.22,3.00,0.00,0.00,5.41,2,node1,0.6642,3.58,3.71,3,3,0,0,0,1,2,0
1782649931,1.25,41.28,50.25,7.00,0.00,0.00,6.88,2,node3,0.5803,2.85,2.96,13,4,2,7,1,1,11,0
1782649932,1.25,41.97,50.22,7.00,0.00,0.00,7.07,2,node3,0.5804,2.85,2.96,13,4,2,7,1,1,11,0
1782649933,1.26,48.45,49.91,7.00,0.00,0.00,7.27,2,node3,0.5816,2.85,2.96,13,4,2,7,1,1,11,0
1782649934,1.26,52.38,49.31,0.00,2412.00,1.40,5.84,2,node3,0.5432,3.41,3.52,16,5,2,9,1,1,14,0
1782649935,1.26,52.36,49.16,0.00,1966.41,1.80,4.81,2,node3,0.5464,4.65,4.78,18,5,2,11,1,1,16,0
1782649936,1.26,52.37,49.38,0.00,1514.50,1.00,4.73,0,node1,0.5403,3.50,3.54,19,6,2,11,2,1,16,0
1782649937,1.26,52.43,49.69,0.00,1898.60,0.60,5.09,2,node2,0.5364,3.41,3.56,22,6,3,13,2,1,19,0
1782649938,1.26,52.49,49.19,0.00,1450.74,2.80,5.21,2,node3,0.5530,3.91,4.00,25,7,4,14,3,2,20,0
1782649939,1.26,52.51,49.25,0.00,1307.67,2.00,5.37,1,node3,0.5474,3.33,3.37,30,7,4,19,3,3,24,0
1782649940,1.26,52.53,49.31,2.00,1185.00,2.00,4.81,2,node3,0.4672,3.74,3.83,32,7,4,21,3,3,26,0
1782649941,1.26,52.53,49.06,0.00,1074.20,2.00,4.69,2,node3,0.5481,3.74,3.83,32,7,4,21,3,3,26,0
1782649942,1.26,52.53,49.06,0.00,1074.20,1.60,4.65,2,node3,0.5454,3.74,3.83,32,7,4,21,3,3,26,0
1782649943,1.26,52.53,49.19,0.00,1074.20,1.40,4.65,2,node3,0.5436,3.74,3.83,32,7,4,21,3,3,26,0
1782649944,1.26,52.53,49.12,0.00,1074.20,0.60,4.65,2,node3,0.5385,3.74,3.83,32,7,4,21,3,3,26,0
1782649945,1.26,52.53,49.12,0.00,1074.20,0.20,4.65,2,node3,0.5359,3.74,3.83,32,7,4,21,3,3,26,0
1782649946,1.26,52.53,49.19,0.00,1074.20,0.00,4.65,2,node3,0.5343,3.74,3.83,32,7,4,21,3,3,26,0
1782649947,1.26,52.53,49.09,0.00,1074.20,0.00,4.65,2,node3,0.5347,3.74,3.83,32,7,4,21,3,3,26,0
1782649948,1.26,52.53,48.97,0.00,1074.20,0.00,4.65,2,node3,0.5351,3.74,3.83,32,7,4,21,3,3,26,0
1782649949,1.26,52.53,49.03,0.00,1074.20,0.00,4.65,2,node3,0.5349,3.74,3.83,32,7,4,21,3,3,26,0
1782649950,1.26,52.53,49.41,0.00,1074.20,0.00,4.65,2,node3,0.5335,3.74,3.83,32,7,4,21,3,3,26,0
1782649951,1.26,52.53,49.12,0.00,1074.20,0.00,4.65,2,node3,0.5345,3.74,3.83,32,7,4,21,3,3,26,0
1782649952,1.26,52.53,49.38,0.00,1074.20,0.00,4.65,2,node3,0.5336,3.74,3.83,32,7,4,21,3,3,26,0
1782649953,1.26,52.53,49.38,0.00,1074.20,0.00,4.65,2,node3,0.5336,3.74,3.83,32,7,4,21,3,3,26,0
1782649954,1.26,52.56,49.31,0.00,1074.20,0.00,4.65,2,node3,0.5338,3.74,3.83,32,7,4,21,3,3,26,0
1782649955,1.26,52.56,49.44,0.00,1074.20,0.00,4.65,2,node3,0.5334,3.74,3.83,32,7,4,21,3,3,26,0
1782649956,1.26,52.56,49.38,0.00,1074.20,0.00,4.65,2,node3,0.5336,3.74,3.83,32,7,4,21,3,3,26,0
1782649957,1.26,52.56,49.38,0.00,1074.20,0.00,4.65,2,node3,0.5336,3.74,3.83,32,7,4,21,3,3,26,0
1782649958,1.26,52.56,49.44,0.00,1074.20,0.00,4.65,2,node3,0.5334,3.74,3.83,32,7,4,21,3,3,26,0
1782649959,1.26,52.59,49.09,0.00,1124.00,0.20,4.69,2,node1,0.5360,3.81,3.94,33,8,4,21,3,3,27,0
1782649960,1.26,52.74,49.97,0.00,1407.48,0.40,7.38,2,node2,0.5340,4.10,4.21,85,18,10,57,10,8,67,0
1782649961,1.26,52.90,49.97,9.00,451.11,3.80,8.45,2,node1,0.3567,3.32,3.43,121,35,29,57,12,8,101,0
1782649962,1.26,52.90,49.72,2.00,927.75,4.60,8.53,2,node2,0.4830,3.16,3.27,128,38,33,57,12,8,108,0
1782649963,1.26,52.90,49.50,0.00,480.26,7.20,5.76,2,node3,0.5811,3.29,3.37,131,38,33,60,12,8,111,0
1782649964,1.26,52.90,49.44,0.00,439.84,7.80,5.01,2,node3,0.5854,3.29,3.37,131,38,33,60,12,8,111,0
1782649965,1.26,52.90,49.31,0.00,439.84,7.80,4.69,2,node3,0.5859,3.29,3.37,131,38,33,60,12,8,111,0
1782649966,1.26,52.90,49.25,0.00,439.84,4.80,4.65,2,node3,0.5661,3.29,3.37,131,38,33,60,12,8,111,0
1782649967,1.26,52.90,49.22,0.00,439.84,2.00,4.65,2,node3,0.5476,3.29,3.37,131,38,33,60,12,8,111,0
1782649968,1.26,52.90,49.38,0.00,439.84,0.60,4.65,2,node3,0.5376,3.29,3.37,131,38,33,60,12,8,111,0
1782649969,1.26,52.90,49.28,0.00,439.84,0.00,4.65,2,node3,0.5340,3.29,3.37,131,38,33,60,12,8,111,0
1782649970,1.26,52.90,49.22,0.00,439.84,0.00,4.65,2,node3,0.5342,3.29,3.37,131,38,33,60,12,8,111,0
1782649971,1.26,52.90,49.38,0.00,373.80,0.00,4.65,2,node1,0.5337,3.65,3.78,134,41,33,60,12,8,114,0
1782649972,1.26,52.91,49.28,0.00,439.84,0.00,4.85,2,node3,0.5340,4.82,4.96,146,43,33,70,13,9,124,0
